username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,,,,,
MishiChoudhary,05/05/2020 03:48:00,4,9,Considering the Indian SC's disappointing response of past 1year on issues that need resolution,,,,,,,,,,,,
royanand15,05/05/2020 03:48:00,0,0,Hahaha! #AarogyaSetu app what's the plan? https:// twitter.com/Reuters/status /1257364692353384454 …,,,#AarogyaSetu,1.25737E+18,https://twitter.com/royanand15/status/1257373956753014792,,,,,,,
abheeiex,05/05/2020 03:33:00,0,0,@RahulGandhi @INCIndia anything on this or modi is PM of UK who is forcing #AarogyaSetu on British https:// twitter.com/BBCNews/status /1257357130073542664 …,,@RahulGandhi @INCIndia,#AarogyaSetu,1.25737E+18,https://twitter.com/abheeiex/status/1257370403653193728,,,,,,,
upendra1194,05/05/2020 03:31:00,0,1,चीनी #Zoom एप से डर नही लगता साहब,,,,,,,,,,,,
sumonseng,05/05/2020 03:13:00,1,2,This #AarogyaSetu app may place #Indian_Muslims_in_danger as they are the soft targets & the paid media will naturally try to point fingers to #TabhliqJamaat persons while #NamasteTrump events which is mostly responsible for spreading of COViD 19 will be ignored,,,#AarogyaSetu #Indian_Muslims_in_danger #TabhliqJamaat #NamasteTrump,1.25737E+18,https://twitter.com/sumonseng/status/1257365226284081155,,,,,,,
sumitluthra,05/05/2020 03:02:00,1,1,And here in India @Rahulgandhi ,,,,,,,,,,,,
SourabhDhande,05/05/2020 02:57:00,0,2,#AarogyaSetu is our bridge to prevent spread of #COVID19 in India. It will help us to stay informed with latest updates against #COVID19 ,,,,,,,,,,,,
iAvimanyu,05/05/2020 02:57:00,0,0,Why can't #AarogyaSetuApp #AarogyaSetu @SetuAarogya adopt Decentralized Privacy-Preserving Proximity Tracing #DP3T practices? Thank you @thewire_in . https:// thewire.in/tech/aarogya-s etu-six-questions-for-the-centre-on-the-covid-19-contact-tracing-app …,,@SetuAarogya @thewire_in,#AarogyaSetuApp #AarogyaSetu #DP3T,1.25736E+18,https://twitter.com/iAvimanyu/status/1257361197634117636,,,,,,,
delhidumbo,05/05/2020 02:46:00,0,0,What privacy? What data government can get from #aarogyasetu . Google and Facebook are tracking you live,,,,,,,,,,,,
ExpressTechie,05/05/2020 02:38:00,3,33,All future #Xiaomi phones will come with #AarogyaSetu pre-installed? | @snehasaha1994 @manukumarjain https:// indianexpress.com/article/techno logy/mobile-tabs/xiaomi-phones-will-have-aarogya-setu-app-pre-installed-if-govt-orders-manu-jain-6393791/ …,,@snehasaha1994 @manukumarjain,#Xiaomi #AarogyaSetu,1.25736E+18,https://twitter.com/ExpressTechie/status/1257356350297911297,,,,,,,
Ashish4Ayodhya,05/05/2020 02:31:00,0,0,#AarogyaSetu now trusted by more than 9 crore / 90 million Indians. मैं सुरक्षित । हम सुरक्षित । भारत सुरक्षित | pic.twitter.com/yMJTBMAe5S,,,#AarogyaSetu,1.25735E+18,https://twitter.com/Ashish4Ayodhya/status/1257354716654206977,,,,,,,
amar_janghela,05/05/2020 02:05:00,0,1,Today’s #COVID19 status of my 1km Radius. #Airoli #NaviMumbai #Mumbai #AarogyaSetu #AarogyaSetuApp .. Thanks to @MoHFW_INDIA and the developer team of Aarogya Setu. Thanks to all #CoronaWarriorsIndia #CoronaWarriors pic.twitter.com/cXqLUJVO9d,,@MoHFW_INDIA,#COVID19 #Airoli #NaviMumbai #Mumbai #AarogyaSetu #AarogyaSetuApp #CoronaWarriorsIndia #CoronaWarriors,1.25735E+18,https://twitter.com/amar_janghela/status/1257348098323595264,,,,,,,
INCTharoorian,05/05/2020 01:41:00,1,1,The Chinese government has used tools such as phone tracking to control the coronavirus outbreak and now other countries are starting to look at similar technological solutions. https://www. bbc.com/news/av/world- asia-52136968/coronavirus-in-a-surveillance-state … #AarogyaSetu,,,#AarogyaSetu,1.25734E+18,https://twitter.com/INCTharoorian/status/1257342007271469058,,,,,,,
smondal1008,05/05/2020 01:28:00,3,8,#AarogyaSetu has launched the Mitr app for free COVID-19 #teleconsultation for citizens across India. Thanks to all your support,,,,,,,,,,,,
changewhatwecan,05/05/2020 01:26:00,0,0,People who does not think about privacy when installing app like hppn ,,,,,,,,,,,,
changewhatwecan,05/05/2020 01:24:00,0,0,People who does not thinks before installing apps from unauthorised sources ,,,,,,,,,,,,
changewhatwecan,05/05/2020 01:22:00,0,0,#AarogyaSetu #isupportaarogyasetu #installaarogyaSetu https:// twitter.com/punjabkesari/s tatus/1257335562849128449 …,,,#AarogyaSetu #isupportaarogyasetu #installaarogyaSetu,1.25734E+18,https://twitter.com/changewhatwecan/status/1257337194756419585,,,,,,,
mishisdad,05/05/2020 01:20:00,1,1,Really mouth watering mangoes! Every one must plant numerous trees to produce enough plant based food for all to reduce animal human conflict #COVID19 #AarogyaSetu @BSNLCorporate @yearning4d_sky https:// twitter.com/NamrattaTiwari /status/1257333791816912899 …,,@BSNLCorporate @yearning4d_sky,#COVID19 #AarogyaSetu,1.25734E+18,https://twitter.com/mishisdad/status/1257336860252278785,,,,,,,
Keshavchopra007,05/05/2020 01:14:00,0,2,BJP T.Tillo Mandal Estab. Call Center,,,,,,,,,,,,
ravisbhadoriya,05/05/2020 01:12:00,1,0,@sambitswaraj @raghav_chadha @rssurjewala @aajtak @ABPNews @Republic_Bharat @RajatSharmaLive @GoswamiArnabRpt #wineshops #coronavirusinindia #CoronaUpdatesInIndia #AarogyaSetu https:// twitter.com/ravisbhadoriya /status/1257331398895001600 …,,@sambitswaraj @raghav_chadha @rssurjewala @aajtak @ABPNews @Republic_Bharat @RajatSharmaLive @GoswamiArnabRpt,#wineshops #coronavirusinindia #CoronaUpdatesInIndia #AarogyaSetu,1.25733E+18,https://twitter.com/ravisbhadoriya/status/1257334861750317061,,,,,,,
SangeethaAe,05/05/2020 01:12:00,0,0,@PMOIndia #ArogyaSetu doesn't get updates even after 24 hours. I got to know from news there is 2 Corona cases around 5 km radius But it is not yet updated in #AarogyaSetu .,,@PMOIndia,#ArogyaSetu #AarogyaSetu,1.25733E+18,https://twitter.com/SangeethaAe/status/1257334674499780613,,,,,,,
Brookly69478760,05/05/2020 01:09:00,0,1,Lets presume #AarogyaSetu app: a 'GPS'(if it has all d QUALITIES of a test-kit & those in&around our surroundings can b IDENTIFIED as Covid-19 +ve or -ve / how many of them in % / etc. etc.) then,,,,,,,,,,,,
anujeverywhere,05/05/2020 01:09:00,0,0,@PMOIndia @narendramodi @NDA @sudhirchaudhary @ndtv @rsprasad song for #AarogyaSetu https:// youtu.be/bUAjHDbKirE,,@PMOIndia @narendramodi @NDA @sudhirchaudhary @ndtv @rsprasad,#AarogyaSetu,1.25733E+18,https://twitter.com/anujeverywhere/status/1257333971576393728,,,,,,,
mishisdad,05/05/2020 01:08:00,0,1,Stay indoors,,,,,,,,,,,,
thevikaslohchab,05/05/2020 01:08:00,0,0,#MHA stated that though all passengers will be #screened before they board,,,,,,,,,,,,
ians_india,05/05/2020 01:07:00,0,5,Q: You seem to be backing the government's #AarogyaSetu app being made compulsory even when you raised concern over #TikTok . Why? @ashwani_mahajan @swadeshimanch #aarogyasetu_app pic.twitter.com/VPHKqYpwaW,,@ashwani_mahajan @swadeshimanch,#AarogyaSetu #TikTok #aarogyasetu_app,1.25733E+18,https://twitter.com/ians_india/status/1257333556289908743,,,,,,,
